,description
16077,"pistachio nuts roasted is a food with 172.0 calories. It provides 13.7 grams of fat, 0.0 grams of cholesterol, and 0.4 grams of iron. You can also find 2.3 grams of sugars and 8.5 grams of carbohydrates in it."
16078,"walnut serves up 33.0 calories. Nutritionally, it contains 3.3 grams of fat, 0.0 grams of cholesterol, and 0.1 grams of iron, along with 0.1 grams of sugars and 0.7 grams of carbohydrates."
16079,"celery seeds features 25.0 calories. The nutritional profile includes 1.6 grams of fat, 0.0 grams of cholesterol, and 2.9 grams of iron, along with 0.078 grams of sugars and 2.7 grams of carbohydrates."
16080,"hickorynuts dried tallies 788.0 calories. The nutritional profile includes 77.2 grams of fat, 0.0 grams of cholesterol, and 2.5 grams of iron, along with 0.0 grams of sugars and 21.9 grams of carbohydrates."
16081,"spanish peanuts roasted indicates 851.0 calories. It contains 72.1 grams of fat, 0.0 grams of cholesterol, and 3.4 grams of iron, as well as 0.0 grams of sugars and 25.7 grams of carbohydrates."
16082,"woca seeds dried delivers 102.0 calories. It contains 0.3 grams of fat, 0.0 grams of cholesterol, and 0.4 grams of iron, as well as 0.1 grams of sugars and 22.6 grams of carbohydrates."
16083,"pecans roasted signifies 215.0 calories. It contains 22.6 grams of fat, 0.0 grams of cholesterol, and 0.7 grams of iron, as well as 1.2 grams of sugars and 3.9 grams of carbohydrates."
16084,"fennel seeds stands at 7.0 calories. It contains 0.3 grams of fat, 0.0 grams of cholesterol, and 0.4 grams of iron, as well as 0.0 grams of sugars and 1.0 grams of carbohydrates."
16085,"chinese chestnuts roasted amounts to 68.0 calories. It includes 0.3 grams of fat, 0.0 grams of cholesterol, and 0.4 grams of iron, along with 0.0 grams of sugars and 14.8 grams of carbohydrates."
16086,"watermelon seed kernels dried comprises 602.0 calories. It includes 51.2 grams of fat, 0.0 grams of cholesterol, and 7.9 grams of iron, as well as 0.0 grams of sugars and 16.5 grams of carbohydrates."
16087,"macadamia nuts raw demonstrates 38.0 calories. The nutritional content includes 4.0 grams of fat, 0.0 grams of cholesterol, and 0.2 grams of iron, along with 0.2 grams of sugars and 0.7 grams of carbohydrates."
16088,"pectin packs 163.0 calories. It has 0.2 grams of fat, 0.0 grams of cholesterol, and 1.4 grams of iron, as well as 0.0 grams of sugars and 45.2 grams of carbohydrates."
16089,"black walnut dried has 31.0 calories. It contains 3.0 grams of fat, 0.0 grams of cholesterol, 0.2 grams of iron, 0.018 grams of sugars, and 0.5 grams of carbohydrates."
16090,"water chestnut canned contains 70.0 calories. In terms of nutrition, it has 0.015 grams of fat, 0.0 grams of cholesterol, and 1.2 grams of iron. Additionally, it includes 3.4 grams of sugar and 17.2 grams of carbs."
16091,"ginkgo nuts dried features 98.0 calories. The nutritional profile includes 0.6 grams of fat, 0.0 grams of cholesterol, and 0.5 grams of iron, along with 0.0 grams of sugars and 20.5 grams of carbohydrates."
16092,"virginia peanuts raw produces 822.0 calories. It contains 71.2 grams of fat, 0.0 grams of cholesterol, and 3.7 grams of iron, as well as 5.8 grams of sugars and 24.1 grams of carbohydrates."
16093,"valencia peanuts roasted demonstrates 177.0 calories. The nutritional content includes 15.4 grams of fat, 0.0 grams of cholesterol, and 0.5 grams of iron, along with 0.0 grams of sugars and 4.9 grams of carbohydrates."
16094,"nesfit diet cereal nestle displays 75.0 calories. Nutritionally, it includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
16095,"corn grits cooked gives you 182.0 calories. It contains 1.2 grams of fat, 0.0 grams of cholesterol, and 1.5 grams of iron. Additionally, it includes 0.3 grams of sugar and 37.9 grams of carbs."
16096,"amaranth flakes represents 134.0 calories. It contains 2.7 grams of fat, 0.0 grams of cholesterol, and 0.7 grams of iron, as well as 0.2 grams of sugars and 27.0 grams of carbohydrates."
16097,"The food named granola has 293.0 calories. It contains 14.6 grams of fat, 0.0 grams of cholesterol, 2.4 grams of iron, 11.9 grams of sugar, and 32.3 grams of carbohydrates."
16098,"muesli with fruit nuts displays 231.0 calories. Nutritionally, it includes 3.4 grams of fat, 0.0 grams of cholesterol, and 5.9 grams of iron, along with 14.2 grams of sugars and 45.7 grams of carbohydrates."
16099,"muesli master crumble contributes 124.0 calories. Nutritionally, it has 2.4 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.042 grams of sugars and 4.5 grams of carbohydrates."
16100,"bran flakes equals 131.0 calories. Nutritionally, it includes 0.8 grams of fat, 0.0 grams of cholesterol, and 0.3 grams of iron, along with 7.4 grams of sugars and 32.2 grams of carbohydrates."
16101,"nut cereal yields 245.0 calories. Nutritionally, it includes 5.9 grams of fat, 0.0 grams of cholesterol, and 10.3 grams of iron, along with 17.2 grams of sugars and 46.2 grams of carbohydrates."
16102,"corn flakes displays 108.0 calories. Nutritionally, it includes 0.3 grams of fat, 0.0 grams of cholesterol, and 0.083 grams of iron, along with 2.2 grams of sugars and 24.6 grams of carbohydrates."
16103,"corn grits dry carries 36.0 calories. It has 0.2 grams of fat, 0.0 grams of cholesterol, and 0.3 grams of iron, as well as 0.008 grams of sugars and 7.7 grams of carbohydrates."
16104,"eggnog makes up 224.0 calories. The nutritional breakdown includes 10.6 grams of fat, 149.9 grams of cholesterol, and 0.5 grams of iron, along with 20.4 grams of sugars and 20.4 grams of carbohydrates."
16105,"beer light has 96.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, 0.014 grams of iron, 0.3 grams of sugars, and 5.4 grams of carbohydrates."
16106,"With 12.0 calories, beer budweiser offers 0.0 grams of fat, 0.0 grams of cholesterol, 0.0 grams of iron, 0.0 grams of sugars, and 0.9 grams of carbohydrates."
16107,"weizenbier erdinger shows 220.0 calories. The nutritional breakdown includes 18.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
16108,"The food item beer light budweiser provides 9.0 calories. You can find 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron. It also contains 0.0 grams of sugars and 0.4 grams of carbohydrates."
16109,"beer stands at 142.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.031 grams of iron, as well as 0.0 grams of sugars and 11.7 grams of carbohydrates."
16110,"root beer exhibits 202.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.037 grams of iron, as well as 52.3 grams of sugars and 52.3 grams of carbohydrates."
16111,"whiskey sour mix amounts to 26.0 calories. It includes 0.072 grams of fat, 0.0 grams of cholesterol, and 0.047 grams of iron, along with 6.3 grams of sugars and 6.3 grams of carbohydrates."
16112,"whiskey sour offers 158.0 calories. The nutritional breakdown includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.047 grams of iron, along with 0.0 grams of sugars and 13.9 grams of carbohydrates."
16113,"tequila sunrise demonstrates 232.0 calories. The nutritional content includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.038 grams of iron, along with 0.0 grams of sugars and 23.8 grams of carbohydrates."
16114,"daiquiri is a food with 112.0 calories. It provides 0.036 grams of fat, 0.0 grams of cholesterol, and 0.033 grams of iron. You can also find 3.3 grams of sugars and 4.2 grams of carbohydrates in it."
16115,"pina colada has a calorie count of 245.0. It provides 2.7 grams of fat, 0.0 grams of cholesterol, and 0.1 grams of iron. It also contains 31.5 grams of sugar and 32.0 grams of carbs."
16116,"whiskey contains 58.0 calories. It has 0.0 grams of fat, 0.0 grams of cholesterol, and 0.072 grams of iron, plus 0.078 grams of sugars and 0.1 grams of carbohydrates."
16117,"rum supplies 49.0 calories. Nutritionally, it includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.045 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
16118,"The food named vodka smirnoff has 13.0 calories. It contains 0.4 grams of fat, 0.0 grams of cholesterol, 0.0 grams of iron, 0.082 grams of sugar, and 2.0 grams of carbohydrates."
16119,"coffee liqueur yields 96.0 calories. Nutritionally, it includes 0.038 grams of fat, 0.0 grams of cholesterol, and 0.02 grams of iron, along with 13.7 grams of sugars and 13.8 grams of carbohydrates."
16120,"gin holds 53.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
16121,"With 165.0 calories, dessert wine sweet offers 0.0 grams of fat, 0.0 grams of cholesterol, 0.2 grams of iron, 8.0 grams of sugars, and 14.1 grams of carbohydrates."
16122,"chenin blanc white wine serves up 118.0 calories. Nutritionally, it contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 4.9 grams of carbohydrates."
16123,"gamay red wine delivers 115.0 calories. Nutritionally, it has 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron. It also includes 0.0 grams of sugar and 3.5 grams of carbs."
16124,"late harvest white wine contributes 172.0 calories. Nutritionally, it has 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 20.6 grams of carbohydrates."
16125,"gewurztraminer white wine consists of 119.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 3.8 grams of carbohydrates."
16126,"In burgundy red wine, you get 172.0 calories. The nutritional content includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron. There are also 0.0 grams of sugar and 7.4 grams of carbs."
16127,"zinfandel red wine reveals 129.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 4.2 grams of carbohydrates."
16128,"The food named muller thurgau white wine has 112.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, 0.0 grams of iron, 0.0 grams of sugar, and 5.2 grams of carbohydrates."
16129,"mouvedre red wine holds 129.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 3.9 grams of carbohydrates."
16130,"table wine displays 123.0 calories. Nutritionally, it includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.5 grams of iron, along with 1.2 grams of sugars and 4.0 grams of carbohydrates."
16131,"wine light contains 73.0 calories. In terms of nutrition, it has 0.0 grams of fat, 0.0 grams of cholesterol, and 0.6 grams of iron. Additionally, it includes 1.7 grams of sugar and 1.7 grams of carbs."
16132,"white wine offers 121.0 calories. The nutritional breakdown includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.4 grams of iron, along with 1.4 grams of sugars and 3.8 grams of carbohydrates."
16133,"petite sirah red wine exhibits 125.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 3.9 grams of carbohydrates."
16134,"In non alcoholic wine, you get 2.0 calories. The nutritional content includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.1 grams of iron. There are also 0.3 grams of sugar and 0.3 grams of carbs."
16135,"pinot noir red wine serves up 121.0 calories. Nutritionally, it contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 3.4 grams of carbohydrates."
16136,"pinot gris grigio white wine contributes 122.0 calories. Nutritionally, it has 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 3.0 grams of carbohydrates."
16137,"For 118.0 calories, riesling white wine provides 0.0 grams of fat, 0.0 grams of cholesterol, 0.0 grams of iron, 0.0 grams of sugars, and 5.5 grams of carbohydrates."
16138,"barbera red wine totals 170.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 5.6 grams of carbohydrates."
16139,"For 118.0 calories, lemberger red wine provides 0.0 grams of fat, 0.0 grams of cholesterol, 0.0 grams of iron, 0.0 grams of sugars, and 3.6 grams of carbohydrates."
16140,"merlot red wine displays 122.0 calories. Nutritionally, it includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.7 grams of iron, along with 0.9 grams of sugars and 3.7 grams of carbohydrates."
16141,"sangiovese red wine serves up 126.0 calories. Nutritionally, it contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 3.9 grams of carbohydrates."
16142,"sauvignon blanc white wine has 119.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, 0.0 grams of iron, 0.0 grams of sugars, and 3.0 grams of carbohydrates."
16143,"With 122.0 calories, syrah red wine offers 0.0 grams of fat, 0.0 grams of cholesterol, 0.0 grams of iron, 0.0 grams of sugars, and 3.8 grams of carbohydrates."
16144,"carignane red wine tallies 370.0 calories. The nutritional profile includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 12.0 grams of carbohydrates."
16145,"pinot blanc white wine represents 119.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 2.9 grams of carbohydrates."
16146,"semillon white wine contains 121.0 calories. It has 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, plus 0.0 grams of sugars and 4.6 grams of carbohydrates."
16147,"dessert wine dry supplies 760.0 calories. Nutritionally, it includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.2 grams of iron, along with 5.5 grams of sugars and 58.4 grams of carbohydrates."
16148,"red wine boasts 125.0 calories. The nutritional content includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.7 grams of iron, as well as 0.9 grams of sugars and 3.8 grams of carbohydrates."
16149,"cabernet sauvignon red wine stands at 166.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 5.2 grams of carbohydrates."
16150,"muscat white wine stands at 123.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 7.8 grams of carbohydrates."
16151,"cooking wine displays 2.0 calories. Nutritionally, it includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.1 grams of iron, along with 0.09 grams of sugars and 0.3 grams of carbohydrates."
16152,"chardonnay white wine serves up 168.0 calories. Nutritionally, it contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.5 grams of iron, along with 1.9 grams of sugars and 4.3 grams of carbohydrates."
16153,"claret red wine serves up 122.0 calories. Nutritionally, it contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 4.4 grams of carbohydrates."
16154,"rice sake yields 197.0 calories. Nutritionally, it includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.1 grams of iron, along with 0.0 grams of sugars and 7.4 grams of carbohydrates."
16155,"fume blanc white wine offers 121.0 calories. The nutritional breakdown includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 3.3 grams of carbohydrates."
16156,"For 122.0 calories, cabarnet franc red wine provides 0.0 grams of fat, 0.0 grams of cholesterol, 0.0 grams of iron, 0.0 grams of sugars, and 3.6 grams of carbohydrates."
16157,"chocolate frosting reflects 81.0 calories. Nutritionally, it includes 3.6 grams of fat, 0.0 grams of cholesterol, and 0.3 grams of iron, along with 11.8 grams of sugars and 13.0 grams of carbohydrates."
16158,"white sugar totals 19.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.078 grams of iron, as well as 4.9 grams of sugars and 5.0 grams of carbohydrates."
16159,"egg substitute exhibits 115.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 4.8 grams of iron, as well as 4.8 grams of sugars and 4.8 grams of carbohydrates."
16160,"agave syrup gives you 21.0 calories. It contains 0.081 grams of fat, 0.0 grams of cholesterol, and 0.042 grams of iron. Additionally, it includes 4.7 grams of sugar and 5.3 grams of carbs."
16161,"splenda sweetener amounts to 336.0 calories. It includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 80.3 grams of sugars and 91.2 grams of carbohydrates."
16162,"vanilla extract is a food with 12.0 calories. It provides 0.069 grams of fat, 0.0 grams of cholesterol, and 0.019 grams of iron. You can also find 0.5 grams of sugars and 0.5 grams of carbohydrates in it."
16163,"egg yolk dried consists of 27.0 calories. It contains 2.3 grams of fat, 92.3 grams of cholesterol, and 0.4 grams of iron, along with 0.002 grams of sugars and 0.054 grams of carbohydrates."
16164,"granulated sugar packs 16.0 calories. It has 0.0 grams of fat, 0.0 grams of cholesterol, and 0.01 grams of iron, as well as 4.2 grams of sugars and 4.2 grams of carbohydrates."
16165,"baking chocolate makes up 145.0 calories. The nutritional breakdown includes 15.2 grams of fat, 0.0 grams of cholesterol, and 5.0 grams of iron, along with 0.3 grams of sugars and 8.7 grams of carbohydrates."
16166,"bakers yeast produces 18.0 calories. It contains 0.3 grams of fat, 0.0 grams of cholesterol, and 0.6 grams of iron, as well as 0.0 grams of sugars and 3.1 grams of carbohydrates."
16167,"fondant contains 106.0 calories. In terms of nutrition, it has 0.009 grams of fat, 0.0 grams of cholesterol, and 0.09 grams of iron. Additionally, it includes 25.2 grams of sugar and 26.4 grams of carbs."
16168,"brown sugar makes up 16.0 calories. The nutritional breakdown includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.071 grams of iron, along with 4.1 grams of sugars and 4.1 grams of carbohydrates."
16169,"white frosting dry consists of 768.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.2 grams of iron, along with 0.0 grams of sugars and 196.4 grams of carbohydrates."
16170,"maple sugar consists of 42.0 calories. It contains 0.061 grams of fat, 0.0 grams of cholesterol, and 0.2 grams of iron, along with 10.2 grams of sugars and 10.9 grams of carbohydrates."
16171,"The food item fructose sweetener provides 15.0 calories. You can find 0.0 grams of fat, 0.0 grams of cholesterol, and 0.067 grams of iron. It also contains 3.9 grams of sugars and 4.2 grams of carbohydrates."
16172,"saccharin sweetener yields 360.0 calories. Nutritionally, it includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.058 grams of iron, along with 85.2 grams of sugars and 89.1 grams of carbohydrates."
16173,"egg white raw signifies 17.0 calories. It contains 0.063 grams of fat, 0.0 grams of cholesterol, and 0.045 grams of iron, as well as 0.2 grams of sugars and 0.2 grams of carbohydrates."
16174,"turbinado sugar makes up 18.0 calories. The nutritional breakdown includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.018 grams of iron, along with 4.6 grams of sugars and 4.6 grams of carbohydrates."
16175,"vanilla frosting registers 1931.0 calories. It contains 75.0 grams of fat, 0.0 grams of cholesterol, and 0.7 grams of iron, as well as 291.5 grams of sugars and 313.7 grams of carbohydrates."
16176,"aspartame sweetener contributes 365.0 calories. Nutritionally, it has 0.0 grams of fat, 0.0 grams of cholesterol, and 0.022 grams of iron, as well as 80.7 grams of sugars and 89.1 grams of carbohydrates."
16177,"egg raw indicates 80.0 calories. It contains 5.3 grams of fat, 208.3 grams of cholesterol, and 1.0 grams of iron, as well as 0.2 grams of sugars and 0.4 grams of carbohydrates."
16178,"pineapple topping registers 860.0 calories. It contains 0.3 grams of fat, 0.0 grams of cholesterol, and 0.4 grams of iron, as well as 71.4 grams of sugars and 225.8 grams of carbohydrates."
16179,"egg white dried delivers 26.0 calories. Nutritionally, it has 0.087 grams of fat, 0.0 grams of cholesterol, and 0.028 grams of iron. It also includes 0.0 grams of sugar and 0.3 grams of carbs."
16180,"The food named egg yolk raw has 55.0 calories. It contains 4.5 grams of fat, 184.5 grams of cholesterol, 0.5 grams of iron, 0.08 grams of sugar, and 0.6 grams of carbohydrates."
16181,"baking soda signifies 0.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
16182,"egg dried reveals 30.0 calories. It contains 2.2 grams of fat, 81.5 grams of cholesterol, and 0.2 grams of iron, as well as 0.05 grams of sugars and 0.047 grams of carbohydrates."
16183,"In strawberry topping, you get 53.0 calories. The nutritional content includes 0.096 grams of fat, 0.0 grams of cholesterol, and 0.014 grams of iron. There are also 5.7 grams of sugar and 13.9 grams of carbs."
16184,"bakers yeast dry is a food with 13.0 calories. It provides 0.3 grams of fat, 0.0 grams of cholesterol, and 0.051 grams of iron. You can also find 0.0 grams of sugars and 1.6 grams of carbohydrates in it."
16185,"almond paste represents 1040.0 calories. It contains 63.0 grams of fat, 0.0 grams of cholesterol, and 3.6 grams of iron, as well as 82.3 grams of sugars and 108.5 grams of carbohydrates."
16186,"cream of tartar contributes 8.0 calories. Nutritionally, it has 0.0 grams of fat, 0.0 grams of cholesterol, and 0.1 grams of iron, as well as 0.0 grams of sugars and 1.8 grams of carbohydrates."
16187,"popover dry mix tallies 631.0 calories. The nutritional profile includes 7.3 grams of fat, 0.0 grams of cholesterol, and 5.0 grams of iron, along with 0.0 grams of sugars and 120.7 grams of carbohydrates."
16188,"egg substitute powder displays 126.0 calories. Nutritionally, it includes 3.7 grams of fat, 161.9 grams of cholesterol, and 0.9 grams of iron, along with 6.2 grams of sugars and 6.2 grams of carbohydrates."
16189,"gelatin powder boasts 17.0 calories. The nutritional content includes 0.086 grams of fat, 0.0 grams of cholesterol, and 0.099 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
16190,"tapioca pearls produces 544.0 calories. It contains 0.093 grams of fat, 0.0 grams of cholesterol, and 2.4 grams of iron, as well as 5.1 grams of sugars and 134.8 grams of carbohydrates."
16191,"baking powder contains 2.0 calories. It has 0.0 grams of fat, 0.0 grams of cholesterol, and 0.5 grams of iron, plus 0.0 grams of sugars and 1.3 grams of carbohydrates."
16192,"egg boiled consists of 93.0 calories. It contains 6.4 grams of fat, 223.8 grams of cholesterol, and 0.7 grams of iron, along with 0.7 grams of sugars and 0.7 grams of carbohydrates."
16193,"millet flour generates 444.0 calories. The nutritional breakdown includes 5.1 grams of fat, 0.0 grams of cholesterol, and 4.7 grams of iron, along with 2.0 grams of sugars and 86.9 grams of carbohydrates."
16194,"triticale flour indicates 439.0 calories. It contains 2.4 grams of fat, 0.0 grams of cholesterol, and 3.4 grams of iron, as well as 0.0 grams of sugars and 95.1 grams of carbohydrates."
16195,"For 414.0 calories, corn flour white provides 4.2 grams of fat, 0.0 grams of cholesterol, 1.7 grams of iron, 1.8 grams of sugars, and 87.3 grams of carbohydrates."
16196,"rice flour brown accounts for 574.0 calories. Nutritionally, it contains 4.4 grams of fat, 0.0 grams of cholesterol, and 3.1 grams of iron, along with 1.3 grams of sugars and 120.8 grams of carbohydrates."
16197,"sorghum flour delivers 437.0 calories. It contains 4.0 grams of fat, 0.0 grams of cholesterol, and 3.6 grams of iron, as well as 2.3 grams of sugars and 93.7 grams of carbohydrates."
16198,"cornmeal whole grain contributes 442.0 calories. Nutritionally, it has 4.4 grams of fat, 0.0 grams of cholesterol, and 4.2 grams of iron, as well as 0.8 grams of sugars and 93.8 grams of carbohydrates."
16199,"cornmeal white tallies 581.0 calories. The nutritional profile includes 2.7 grams of fat, 0.0 grams of cholesterol, and 1.7 grams of iron, along with 2.5 grams of sugars and 124.7 grams of carbohydrates."
16200,"barley flour serves up 511.0 calories. Nutritionally, it contains 2.4 grams of fat, 0.0 grams of cholesterol, and 4.0 grams of iron, along with 1.2 grams of sugars and 110.3 grams of carbohydrates."
16201,"safflower seed meal serves up 97.0 calories. Nutritionally, it contains 0.7 grams of fat, 0.0 grams of cholesterol, and 1.4 grams of iron, along with 0.0 grams of sugars and 13.8 grams of carbohydrates."
16202,"sesame flour reveals 658.0 calories. It contains 46.4 grams of fat, 0.0 grams of cholesterol, and 19.0 grams of iron, as well as 0.0 grams of sugars and 33.3 grams of carbohydrates."
16203,"whole grain wheat flour serves up 408.0 calories. Nutritionally, it contains 3.0 grams of fat, 0.0 grams of cholesterol, and 4.3 grams of iron, along with 0.5 grams of sugars and 86.4 grams of carbohydrates."
16204,"corn flour yellow holds 422.0 calories. It contains 4.5 grams of fat, 0.0 grams of cholesterol, and 2.8 grams of iron, along with 0.7 grams of sugars and 89.9 grams of carbohydrates."
16205,"In corn flour whole grain, you get 422.0 calories. The nutritional content includes 4.5 grams of fat, 0.0 grams of cholesterol, and 2.8 grams of iron. There are also 0.7 grams of sugar and 89.9 grams of carbs."
16206,"In cottonseed flour low fat, you get 94.0 calories. The nutritional content includes 0.4 grams of fat, 0.0 grams of cholesterol, and 3.6 grams of iron. There are also 0.0 grams of sugar and 10.2 grams of carbs."
16207,"sunflower seed flour accounts for 13.0 calories. Nutritionally, it contains 0.013 grams of fat, 0.0 grams of cholesterol, and 0.3 grams of iron, along with 0.0 grams of sugars and 1.4 grams of carbohydrates."
16208,"sesame meal reflects 160.0 calories. Nutritionally, it includes 13.6 grams of fat, 0.0 grams of cholesterol, and 4.1 grams of iron, along with 0.0 grams of sugars and 7.4 grams of carbohydrates."
16209,"acorn flour contains 626.0 calories. It has 37.7 grams of fat, 0.0 grams of cholesterol, and 1.5 grams of iron, plus 0.0 grams of sugars and 68.3 grams of carbohydrates."
16210,"rice flour white holds 578.0 calories. It contains 2.2 grams of fat, 0.0 grams of cholesterol, and 0.6 grams of iron, along with 0.2 grams of sugars and 126.6 grams of carbohydrates."
16211,"sesame flour low fat exhibits 94.0 calories. It contains 0.5 grams of fat, 0.0 grams of cholesterol, and 4.0 grams of iron, as well as 0.0 grams of sugars and 10.0 grams of carbohydrates."
16212,"potato flour exhibits 571.0 calories. It contains 0.5 grams of fat, 0.0 grams of cholesterol, and 0.3 grams of iron, as well as 5.6 grams of sugars and 133.0 grams of carbohydrates."
16213,"cornmeal yellow displays 581.0 calories. Nutritionally, it includes 2.7 grams of fat, 0.0 grams of cholesterol, and 1.7 grams of iron, along with 2.5 grams of sugars and 124.7 grams of carbohydrates."
16214,"rye flour provides 364.0 calories. It contains 1.4 grams of fat, 0.0 grams of cholesterol, and 0.9 grams of iron, as well as 0.9 grams of sugars and 78.2 grams of carbohydrates."
16215,"arrowroot flour shows 457.0 calories. The nutritional breakdown includes 0.1 grams of fat, 0.0 grams of cholesterol, and 0.4 grams of iron, along with 0.0 grams of sugars and 112.8 grams of carbohydrates."
16216,"chickpea flour demonstrates 356.0 calories. The nutritional content includes 6.2 grams of fat, 0.0 grams of cholesterol, and 4.5 grams of iron, along with 10.0 grams of sugars and 53.2 grams of carbohydrates."
16217,"wheat flour contains 455.0 calories. It has 1.2 grams of fat, 0.0 grams of cholesterol, and 5.8 grams of iron, plus 0.3 grams of sugars and 95.4 grams of carbohydrates."
16218,"cornstarch signifies 488.0 calories. It contains 0.03 grams of fat, 0.0 grams of cholesterol, and 0.6 grams of iron, as well as 0.0 grams of sugars and 116.8 grams of carbohydrates."
16219,"carob flour shows 13.0 calories. The nutritional breakdown includes 0.061 grams of fat, 0.0 grams of cholesterol, and 0.2 grams of iron, along with 2.9 grams of sugars and 5.3 grams of carbohydrates."
16220,"buckwheat flour totals 402.0 calories. It contains 3.7 grams of fat, 0.0 grams of cholesterol, and 4.9 grams of iron, as well as 3.1 grams of sugars and 84.7 grams of carbohydrates."
16221,"pecan pie has 503.0 calories. It contains 27.1 grams of fat, 106.1 grams of cholesterol, 1.8 grams of iron, 0.0 grams of sugars, and 63.7 grams of carbohydrates."
16222,"apple pie reveals 331.0 calories. It contains 15.6 grams of fat, 0.0 grams of cholesterol, and 1.4 grams of iron, as well as 0.0 grams of sugars and 46.4 grams of carbohydrates."
16223,"vanilla wafer pie crust signifies 935.0 calories. It contains 63.7 grams of fat, 68.6 grams of cholesterol, and 2.9 grams of iron, as well as 12.9 grams of sugars and 88.4 grams of carbohydrates."
16224,"chocolate pie crust yields 881.0 calories. Nutritionally, it includes 40.8 grams of fat, 0.0 grams of cholesterol, and 7.8 grams of iron, along with 47.9 grams of sugars and 117.4 grams of carbohydrates."
